model,task_family,capability,cot_state,n,mean_delta,abs_mean_delta,ci_low_2.5,ci_high_97.5
Qwen3-8B-Base,RB,RB,no_cot,25,-0.8078453243346441,0.9999364587238856,-1.1907387299683123,-0.43347263416976106
Qwen3-8B-Base,RB,RD,no_cot,25,-0.6658006169434105,0.6820793416138207,-0.8406107145511501,-0.498166689141698
Qwen3-8B-Base,RB,RP,with_cot,25,0.9892075361511005,1.053815886131266,0.663842489916044,1.3238356752214684
Qwen3-8B-Base,RB,RB,with_cot,25,-0.32545292830006,0.5416097201460174,-0.5901109347173145,-0.08533958255237956
Qwen3-8B-Base,RB,RD,with_cot,25,-0.19179533382168132,0.45485321034899073,-0.38904155648202593,0.01533292536160328
Qwen3-8B-Base,Hybrid,CP,no_cot,25,0.06967965523820993,0.9663668796486843,-0.5572832376826438,0.611763455036414
Qwen3-8B-Base,Hybrid,CB,no_cot,25,-0.6873478885235574,1.1061534364762096,-1.2296135990856565,-0.17988487487810217
Qwen3-8B-Base,Hybrid,CB-control,no_cot,25,-1.754601860935955,1.7815266463301764,-2.441860068644882,-1.1647344673992446
Qwen3-8B-Base,Hybrid,CD,no_cot,25,-1.5120705695666061,1.5534182800940857,-1.955805128653297,-1.1516835720899166
Qwen3-8B-Base,Hybrid,CP,with_cot,25,0.6413024791441857,0.9945811303071678,0.16183332005268894,1.1318292298808073
Qwen3-8B-Base,Hybrid,CB,with_cot,25,-0.3154375161662077,0.8358933295399572,-0.7582867696374499,0.10935743682067067
Qwen3-8B-Base,Hybrid,CB-control,with_cot,25,-1.1108737977336471,1.2126398222263282,-1.551967209942313,-0.6917599002912098
Qwen3-8B-Base,Hybrid,CD,with_cot,25,-0.6442904602596536,1.0800465869018807,-1.065740224193704,-0.21039757376381513
Qwen3-8B,KB,KP,no_cot,25,-0.7258544319977827,1.307181865381607,-1.3728298716765097,-0.13000871144702467
Qwen3-8B,KB,KD,no_cot,25,-2.342470618271534,2.3917220639058248,-3.2673933973654834,-1.5320258832832807
Qwen3-8B,KB,KB,no_cot,25,-0.31997770721999863,1.0237124544508902,-0.8220521928674582,0.17343680409297413
Qwen3-8B,KB,KP,with_cot,25,0.21383273239296208,1.4021264229143093,-0.4566950089508703,0.8589346662324511
Qwen3-8B,KB,KD,with_cot,25,-0.4532478589372289,1.5959999361656987,-1.3954063921361564,0.3695060009916772
Qwen3-8B,KB,KB,with_cot,25,0.23930990694366155,0.7574455284355102,-0.17867933566408037,0.6587587779572083
Qwen3-8B,RB,RP,no_cot,25,-1.1644343821223846,1.5029334966357817,-1.804587344408585,-0.5712235995351221
Qwen3-8B,RB,RB,no_cot,25,-0.5889063340022024,1.1546239126918365,-1.3239452938325462,0.059526349557363585
Qwen3-8B,RB,RD,no_cot,25,0.019812664718694747,0.9302359929618563,-0.40448554323187275,0.4731281701751935
Qwen3-8B,RB,RP,with_cot,25,-0.28250788091298085,1.4058781969678784,-1.04066979970046,0.4216687870849506
Qwen3-8B,RB,RB,with_cot,25,-0.7645020257115468,1.0723493681158842,-1.3026640795926006,-0.299919678229121
Qwen3-8B,RB,RD,with_cot,25,1.3239581065562447,1.5408958289213064,0.7469597050802135,1.9620352780969073
Qwen3-8B,Hybrid,CP,no_cot,25,-0.03210068831773533,1.5302084025156262,-0.7964506412433497,0.6900852166273349
Qwen3-8B,Hybrid,CB,no_cot,25,0.17891504689008564,1.5884733463446576,-0.5467129590618471,0.9138693786472731
Qwen3-8B,Hybrid,CB-control,no_cot,25,-0.9113347771047761,1.8641993528068503,-1.7998813956371706,-0.050810908622126824
Qwen3-8B,Hybrid,CD,no_cot,25,-1.3998661350325576,1.8328068439634384,-2.2001151548839384,-0.6397156621548161
Qwen3-8B,Hybrid,CP,with_cot,25,0.18319725745225582,0.9824212288248156,-0.3501951883948884,0.8060927557779495
Qwen3-8B,Hybrid,CB,with_cot,25,0.4529603679432717,1.2860547266625364,-0.14895124506180502,1.049861007882692
Qwen3-8B,Hybrid,CB-control,with_cot,25,-0.1970761138805422,0.8654094805200505,-0.6304965003955446,0.2187068118849391
Qwen3-8B,Hybrid,CD,with_cot,25,-0.4080039104830478,1.3717000429739006,-0.9747647700385533,0.1728716351967673
Qwen3.5-0.8B,KB,KP,no_cot,25,0.4968772764473826,0.9910561820602879,0.04762396804230983,0.9909629715310877
Qwen3.5-0.8B,KB,KD,no_cot,25,0.4326868790228452,1.0007949913452778,-0.005323375574539298,0.8801816096500037
Qwen3.5-0.8B,KB,KB,no_cot,25,0.24093983433892885,0.778288984908107,-0.24715106424867492,0.701873864027427
Qwen3.5-0.8B,KB,KP,with_cot,25,-0.40674172845065115,0.6190504610394377,-0.6495345110254358,-0.15724870452538853
Qwen3.5-0.8B,KB,KD,with_cot,25,-0.40973605676040803,0.6330149519895092,-0.6815109372392943,-0.1429980968080773
Qwen3.5-0.8B,KB,KB,with_cot,25,0.10351920640220796,0.6581892581014683,-0.28952586285636966,0.497828951283769
Qwen3.5-0.8B,RB,RP,no_cot,25,0.5741734397751168,1.0546902114492729,0.1156383338482896,1.0391812715541147
Qwen3.5-0.8B,RB,RB,no_cot,25,0.3980758498972726,0.6214603568107955,0.10407666173435405,0.7142689197191172
Qwen3.5-0.8B,RB,RD,no_cot,25,0.6477679861629647,1.4644810219933944,-0.05665833373491966,1.3300351054292348
