model,repair_axis,endpoint,metric,target_repair_fraction,fixed_tau_saturating_absolute_error,nearest_q10_absolute_error,log_linear_absolute_error,raw_linear_absolute_error
Qwen/Qwen3-4B,ANS,Clean,mean_per_item_nll,0.2,0.0018215966963661678,0.000456997640112089,0.017840753402504905,0.017677181677899334
Qwen/Qwen3-4B,ANS,EVD,bits_per_byte,0.2,0.00023995054029879448,0.0023935304773607946,0.005087153491336371,0.005065374882339713
Qwen/Qwen3-4B,ANS,EVD,mean_per_item_nll,0.2,0.0006801033946177704,0.00404585376364297,0.009015328092094599,0.008973629318308252
Qwen/Qwen3-4B,ANS,FMT,bits_per_byte,0.2,4.476574038125847e-06,0.0008580589930178295,0.004004643375049133,0.0040260059856437325
Qwen/Qwen3-4B,ANS,FMT,mean_per_item_nll,0.2,0.00036777385005559715,0.0005749751202641651,0.010360424818890213,0.01042581029128331
Qwen/Qwen3-4B,ANS,PARA,bits_per_byte,0.2,6.682123199874823e-05,0.0015064647647127227,0.004947310075236855,0.004904579115156293
Qwen/Qwen3-4B,ANS,PARA,mean_per_item_nll,0.2,0.0001520046206890946,0.002536831210988577,0.009435425423359955,0.009352896240452768
Qwen/Qwen3-4B,EVD,ANS,bits_per_byte,0.2,0.006294244375060543,0.00943899854008956,0.0004349612785471413,0.00031967516349540315
Qwen/Qwen3-4B,EVD,ANS,mean_per_item_nll,0.2,0.027267735889553002,0.04089134515857795,0.0018843261492360597,0.0013848871141992625
Qwen/Qwen3-4B,EVD,Clean,bits_per_byte,0.2,0.0011790314161266302,0.0023633200639177065,0.0048598891130582356,0.004905281196697864
Qwen/Qwen3-4B,EVD,Clean,mean_per_item_nll,0.2,0.002051680752622964,0.004302166194205981,0.008857906242627944,0.00894040953859232
Qwen/Qwen3-4B,EVD,EVD,bits_per_byte,0.2,0.003888413119554457,0.0047282584012602324,0.0027142991209063716,0.0027607591817195853
Qwen/Qwen3-4B,EVD,EVD,mean_per_item_nll,0.2,0.00719528238490641,0.008772257982221365,0.004937414453066058,0.005023090911512096
Qwen/Qwen3-4B,EVD,FMT,bits_per_byte,0.2,0.000322305845726234,6.86301995579397e-05,0.0018065795642936422,0.001812870978185055
Qwen/Qwen3-4B,EVD,FMT,mean_per_item_nll,0.2,0.0010313119217137956,5.970393872267721e-05,0.0005433130855898582,0.0005480623183233835
Qwen/Qwen3-4B,EVD,PARA,bits_per_byte,0.2,0.001618437379348192,0.002268058124780925,0.00335231581796247,0.0033857255490876703
Qwen/Qwen3-4B,EVD,PARA,mean_per_item_nll,0.2,0.003377980427075933,0.004294048975588716,0.006157389991286344,0.006218921893152984
Qwen/Qwen3-4B,FMT,ANS,bits_per_byte,0.2,0.0031491602162013743,0.004157983044430713,0.006539493118319473,0.006414445854463158
Qwen/Qwen3-4B,FMT,ANS,mean_per_item_nll,0.2,0.013642697031196693,0.01801308890039488,0.028330195107840073,0.02778846911797217
